x[mm]	y[mm]	ampx_meas[mm]	ampy_meas[mm]	p2p_x[m]	p2p_y[m]
3.2	1.2	3.113261	0.931219	0.006218495	0.001859097
3.2	1.4	3.1268195	1.048412	0.006253913	0.002103978
3.2	1.6	3.1292	1.162061	0.006245952	0.002322994
3.2	1.8	3.141532	1.270086	0.006255549	0.002529671
3.2	2.0	3.1467525	1.3599225	0.006300926	0.002704599
3.2	2.2	3.136625	1.4487065	0.006271594	0.002901941
3.2	2.4	3.118281	1.531469	0.006236494	0.003070188
3.2	2.6	3.1202875	1.616624	0.006198882	0.003200602
3.2	2.8	3.162453	1.688039	0.006301926	0.003374057
3.2	3.0	3.196266	1.7612645	0.006429597	0.003521841
3.2	3.2	3.2810025	1.8414825	0.006627876	0.003653784
3.2	3.4	6.9447375	0.993853	0.0	0.0
3.2	3.6	0.0	0.0	0.0	0.0

3.4	0.4	3.261172	0.650558	0.006536856	0.001306896
3.4	0.6	3.284429	0.7424885	0.006556225	0.001490779
3.4	0.8	3.3074055	0.8669475	0.006598205	0.00173826
3.4	1.0	3.337655	0.9862635	0.006664783	0.001975816
3.4	1.2	3.382519	1.091152	0.006757309	0.002199687
3.4	1.4	3.459463	1.1898925	0.006911809	0.002377561
3.4	1.6	3.5792375	1.284905	0.00716381	0.002588402
3.4	1.8	3.7323285	1.3783675	0.007452948	0.002741395
3.4	2.0	3.858489	1.4543455	0.007750563	0.002923245
3.4	2.2	3.959906	1.528883	0.007932838	0.003051752
3.4	2.4	4.067017	1.6022335	0.008104047	0.003236613
3.4	2.6	0.0	0.0	0.0	0.0
3.4	2.8	0.0	0.0	0.0	0.0
3.4	3.0	0.0	0.0	0.0	0.0
3.4	3.2	0.0	0.0	0.0	0.0
3.4	3.4	0.0	0.0	0.0	0.0
3.4	3.6	0.0	0.0	0.0	0.0

3.6	0.4	3.474645	1.010887	0.00692765	0.002016575
3.6	0.6	3.4846365	1.082582	0.006972859	0.002164187
3.6	0.8	3.5351555	1.155056	0.007043171	0.002300887
3.6	1.0	3.592474	1.223128	0.00717693	0.002452596
3.6	1.2	3.658765	1.2939905	0.007317236	0.002583321
3.6	1.4	3.7460395	1.37051	0.007499314	0.002734359
3.6	1.6	3.848366	1.438963	0.007702755	0.002877338
3.6	1.8	3.9299095	1.496948	0.007861635	0.002990157
3.6	2.0	3.9933095	1.5592435	0.007981309	0.003126522
3.6	2.2	4.047228	1.6300435	0.00810365	0.003269546
3.6	2.4	4.1727085	1.701377	0.0	0.0
3.6	2.6	4.273344	1.742037	0.0	0.0
3.6	2.8	0.0	0.0	0.0	0.0
3.6	3.0	3.8788655	1.794232	0.007856889	0.003595306
3.6	3.2	4.105021	1.434801	0.008200205	0.002875825
3.6	3.4	4.142025	1.5126475	0.008206778	0.003033721
3.6	3.6	0.0	0.0	0.0	0.0
