@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %05s "LHCB2"
@ PARTICLE         %06s "PROTON"
@ MASS             %le        0.9382720814
@ CHARGE           %le                   1
@ ENERGY           %le                 450
@ PC               %le         449.9990218
@ GAMMA            %le         479.6050196
@ KBUNCH           %le                   1
@ BCURRENT         %le     0.0002071977779
@ SIGE             %le               0.001
@ SIGT             %le                   1
@ NPART            %le            1.15e+11
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le               0.001
@ LENGTH           %le          26658.8832
@ ALFA             %le       0.00034799894
@ ORBIT5           %le                  -0
@ GAMMATR          %le         53.60570838
@ Q1               %le               62.31
@ Q2               %le               60.32
@ DQ1              %le         2.000004327
@ DQ2              %le         2.000004327
@ DXMAX            %le         2.886807711
@ DYMAX            %le                   0
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         6010.066268
@ BETYMAX          %le         6010.066268
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le         1.498432877
@ DYRMS            %le                   0
@ DELTAP           %le                   0
@ SYNCH_1          %le                   0
@ SYNCH_2          %le                   0
@ SYNCH_3          %le                   0
@ SYNCH_4          %le                   0
@ SYNCH_5          %le                   0
@ TITLE            %22s "Model creator for java"
@ ORIGIN           %16s "5.03.07 Linux 64"
@ DATE             %08s "02/02/18"
@ TIME             %08s "15.34.16"
* NAME                                S                  L KEYWORD            PARENT                            K1L 
 "MQ.25L2.B2"               5344.196835                3.1 "QUADRUPOLE"        "MQ"                    -0.02698474212
 "MQ.24L2.B2"               5397.645351                3.1 "QUADRUPOLE"        "MQ"                     0.02698022857
 "MQS.23L2.B2"              5447.695867               0.32 "QUADRUPOLE"        "MQS"                               -0
 "MQ.23L2.B2"               5451.093867                3.1 "QUADRUPOLE"        "MQ"                    -0.02698474212
 "MQ.22L2.B2"               5504.542383                3.1 "QUADRUPOLE"        "MQ"                     0.02698022857
 "MQT.21L2.B2"              5554.592899               0.32 "QUADRUPOLE"        "MQT"                               -0
 "MQ.21L2.B2"               5557.990899                3.1 "QUADRUPOLE"        "MQ"                    -0.02698474212
 "MQT.20L2.B2"              5608.041414               0.32 "QUADRUPOLE"        "MQT"                               -0
 "MQ.20L2.B2"               5611.439414                3.1 "QUADRUPOLE"        "MQ"                     0.02698022857
 "MQT.19L2.B2"               5661.48993               0.32 "QUADRUPOLE"        "MQT"                               -0
 "MQ.19L2.B2"                5664.88793                3.1 "QUADRUPOLE"        "MQ"                    -0.02698474212
 "MQT.18L2.B2"              5714.938446               0.32 "QUADRUPOLE"        "MQT"                               -0
 "MQ.18L2.B2"               5718.336446                3.1 "QUADRUPOLE"        "MQ"                     0.02698022857
 "MQT.17L2.B2"              5768.386962               0.32 "QUADRUPOLE"        "MQT"                               -0
 "MQ.17L2.B2"               5771.784962                3.1 "QUADRUPOLE"        "MQ"                    -0.02698474212
 "MQT.16L2.B2"              5821.835478               0.32 "QUADRUPOLE"        "MQT"                               -0
 "MQ.16L2.B2"               5825.233478                3.1 "QUADRUPOLE"        "MQ"                     0.02698022857
 "MQT.15L2.B2"              5875.283994               0.32 "QUADRUPOLE"        "MQT"                               -0
 "MQ.15L2.B2"               5878.681994                3.1 "QUADRUPOLE"        "MQ"                    -0.02698474212
 "MQT.14L2.B2"               5928.73251               0.32 "QUADRUPOLE"        "MQT"                               -0
 "MQ.14L2.B2"                5932.13051                3.1 "QUADRUPOLE"        "MQ"                     0.02698022857
